# our_gap_ms badpass_delta_ms is_proxied
48.139 24.466 1
42.58 81.481 1
44.992 93.841 1
94.42 87.19 1
39.477 43.044 1
46.609 104.268 1
45.243 83.359 1
39.914 81.051 1
39.938 83.14 1
44.946 52.926 1
115.875 74.457 1
32.263 4.584 1
46.215 99.248 1
44.105 75.31 1
38.117 84.062 1
48.824 69.382 1
57.534 82.158 1
51.692 88.646 1
1185.152 1309.267 0
135.678 82.775 0
1421.568 1331.877 0
232.16 55.96 0
82.742 153.727 1
45.195 92.731 0
126.631 1424.61 0
47.919 96.669 0
113.699 41.177 0
301.623 1221.993 0
1377.947 27.143 0
1210.576 71.038 0
120.435 1269.727 0
1223.079 81.55 0
1278.167 76.149 0
41.75 34.775 1
41.981 84.394 1
42.072 62.917 1
85.33 76.791 0
46.017 64.508 1
48.0 214.988 1
64.59 108.684 1
51.53 94.084 1
45.835 101.256 1
38.661 62.83 1
45.671 76.479 1
54.122 89.562 1
64.48 50.848 1
1600.969 1435.615 1
89.181 1561.214 1
143.455 247.911 0
1524.176 1652.493 0
1524.263 1452.96 0
99.177 1583.386 0
106.236 1518.147 0
111.04 26.948 0
1569.459 154.649 0
1569.46 173.721 0
1569.343 1472.906 0
1681.444 1471.993 0
1681.452 1472.43 0
90.266 1551.24 0
98.357 1580.458 0
1599.82 1419.136 0
1600.045 51.464 0
1600.111 1497.253 0
1600.18 1497.438 0
1600.206 96.01 0
43.849 65.04 0
48.662 79.625 1
44.492 85.899 1
46.338 101.438 1
46.543 85.471 1
39.28 73.331 1
37.449 61.45 1
90.834 149.547 1
80.898 40.103 1
1191.721 1131.118 0
1191.612 103.011 0
1191.707 20.095 0
1191.867 1131.069 0
1191.765 126.362 0
1270.393 1145.509 0
1270.371 27.0 0
299.972 1235.655 0
309.083 1233.895 0
68.223 1224.004 0
65.925 122.176 0
100.203 1220.391 0
95.299 1141.922 0
1217.211 1182.383 0
1217.459 1182.41 0
1234.665 1190.908 0
84.177 1142.002 0
92.237 30.466 0
45.671 116.565 0
75.613 73.016 0
108.703 1259.539 0
175.287 1165.345 0
1203.928 1252.112 0
51.728 181.625 0
1221.929 145.259 0
207.298 148.632 0
1240.777 1245.075 0
1196.548 100.52 0
1259.828 1363.259 0
27.356 1313.925 1
48.568 1203.358 0
104.48 40.475 0
75.02 1241.135 0
1231.62 1251.578 0
1248.866 165.616 0
50.699 1287.859 0
47.44 35.266 0
51.574 1207.291 0
1252.964 1315.257 0
1359.491 148.112 0
1286.544 1202.124 0
73.144 157.428 0
26.685 1249.41 0
0.273 210.644 0
1214.801 1260.374 0
70.448 86.741 0
1254.452 1185.002 0
98.949 64.383 0
50.118 1283.707 0
1278.28 67.503 0
1253.128 97.424 0
74.84 1231.022 0
1348.055 97.238 0
154.903 30.572 0
1341.02 1242.207 0
1517.236 63.483 0
1312.347 1202.685 0
311.474 98.695 1
1268.895 72.823 0
1296.554 207.124 0
68.419 1285.573 0
1183.444 1254.103 0
34.771 1245.206 0
1204.475 1255.95 0
1236.308 125.546 0
82.903 85.458 0
185.008 74.442 0
129.46 1139.997 0
106.076 276.03 0
98.146 159.69 0
75.487 87.89 0
1280.284 128.36 1
71.548 1239.168 0
100.913 83.682 0
43.507 98.696 0
41.705 74.412 1
1233.27 74.67 0
1132.612 1155.921 0
99.253 119.37 0
107.839 1163.403 0
109.218 1202.251 0
125.588 1060.645 0
90.896 43.086 0
85.508 47.202 0
127.032 77.842 0
107.321 1231.78 0
106.392 104.256 0
142.856 122.16 0
77.826 86.592 1
49.58 55.492 1
1199.402 117.109 0
209.327 30.504 0
1102.104 1047.67 0
1135.211 326.926 0
1114.173 66.463 0
91.641 102.92 0
1134.282 88.791 0
76.523 1137.032 0
1143.099 1134.947 0
116.187 1117.74 0
63.052 1140.77 0
1180.85 1117.599 0
16.589 231.841 0
83.455 32.814 1
1091.483 38.787 0
1207.579 78.12 0
1066.191 49.59 0
42.987 1093.731 0
128.965 83.391 0
74.193 93.04 0
58.726 99.39 0
96.512 184.343 0
92.327 1050.82 0
88.118 81.512 0
100.823 1026.201 0
174.32 977.216 0
1005.366 1183.157 0
104.013 1187.38 0
1048.736 50.652 0
23.261 1159.417 0
102.838 63.341 0
140.177 1117.908 0
1146.147 43.206 0
99.458 1168.248 0
241.556 1091.288 0
37.682 99.862 0
70.167 1235.795 0
75.972 73.491 0
1122.139 1272.985 1
117.632 1229.521 0
1167.875 135.498 0
79.772 1348.25 0
1174.88 42.574 0
1199.45 1426.32 0
1167.789 1203.065 0
57.076 74.43 0
111.559 1334.106 0
1190.69 1246.733 0
160.127 1230.793 0
1193.285 1187.371 0
66.383 75.832 0
1219.827 1264.91 0
55.959 96.925 0
75.96 1180.058 0
1182.353 1175.45 0
122.679 1278.604 0
31.655 41.356 0
1273.887 1210.699 0
185.974 173.656 0
177.902 72.806 0
189.402 96.577 0
111.787 1205.774 0
1127.579 196.0 0
1126.298 72.835 0
1250.553 341.084 0
1173.596 99.635 0
53.848 1158.832 0
1183.122 1149.299 0
120.708 1338.32 0
48.59 1144.893 0
1141.885 35.646 0
132.173 45.434 0
39.232 12.906 0
131.887 146.753 0
1108.567 1126.099 0
1110.248 1171.512 0
151.112 1123.602 1
58.272 61.44 0
129.466 1119.951 0
44.878 62.315 0
1155.472 163.886 0
192.787 1223.979 0
84.811 88.491 0
64.655 76.838 0
1144.628 1153.527 0
1218.237 1133.586 0
45.488 106.87 0
1107.119 1106.739 0
100.246 53.606 0
1164.917 1136.558 0
105.174 1181.32 0
87.294 98.742 0
1139.654 1178.783 0
1139.871 1178.699 0
1139.587 1192.566 0
1139.652 241.629 0
1139.645 1191.956 0
1139.652 93.617 1
1139.889 65.788 0
1139.841 40.457 0
1139.654 1178.504 0
1139.883 1234.208 0
1139.761 239.833 0
1140.142 1090.894 0
1139.653 1121.237 0
1140.061 96.403 0
1140.066 92.239 0
1113.024 1130.407 0
1152.983 143.625 0
40.343 84.263 0
37.077 106.33 1
53.516 -32.267 1
90.337 200.492 0
1781.526 1440.797 0
1781.687 1440.784 0
1781.603 1521.39 0
1781.599 1556.592 0
1781.575 211.635 0
1781.643 1557.355 0
39.213 2892.291 0
1714.737 51.659 0
1714.667 73.15 0
1714.767 1427.93 0
55.688 74.047 0
1714.749 1605.671 0
39.769 2892.131 0
56.553 1820.179 0
