t_rel,server,gap_ms,tcp_rtt_ms,syn_ttl,provider,protocol,country
,us,246.411,136.185,49,oxylabs,socks5,ru
,us,180.626,121.972,49,oxylabs,socks5,ru
,us,312.38,273.377,51,oxylabs,socks5,ru
,us,206.438,110.098,50,oxylabs,socks5,ru
,us,225.234,151.033,49,oxylabs,socks5,ru
,us,239.055,152.222,51,oxylabs,socks5,ru
,us,219.259,131.542,54,oxylabs,socks5,ru
,us,194.536,143.028,44,oxylabs,socks5,ru
,us,211.455,129.966,50,oxylabs,socks5,ru
,us,85.59,123.086,47,oxylabs,socks5,ru
,us,222.225,159.315,49,oxylabs,socks5,ru
,us,237.484,153.641,49,oxylabs,socks5,ru
,us,296.097,163.549,246,oxylabs,socks5,ru
,us,204.84,398.386,52,oxylabs,socks5,ru
,us,210.975,138.286,46,oxylabs,socks5,ru
,us,488.749,200.098,48,oxylabs,socks5,ru
,us,190.265,150.354,239,oxylabs,socks5,ru
,us,188.882,113.82,47,oxylabs,socks5,ru
,us,83.253,138.175,48,oxylabs,socks5,ru
,us,0.612,198.087,49,oxylabs,socks5,ru
,us,255.208,134.1,52,oxylabs,socks5,ru
,us,256.646,175.516,44,oxylabs,socks5,ru
,us,219.878,155.611,50,oxylabs,socks5,ru
,us,261.087,198.252,54,oxylabs,socks5,ru
,us,194.335,135.85,49,oxylabs,socks5,ru
,us,0.951,147.036,49,oxylabs,socks5,ru
,us,201.503,149.721,49,oxylabs,socks5,ru
,us,0.0,210.284,54,oxylabs,socks5,ru
,us,255.996,243.364,246,oxylabs,socks5,ru
,us,342.251,156.129,54,oxylabs,socks5,ru
,us,207.844,163.438,48,oxylabs,socks5,ru
,us,188.247,123.514,46,oxylabs,socks5,ru
,us,215.606,162.798,53,oxylabs,socks5,ru
,us,252.146,208.236,53,oxylabs,socks5,ru
,us,191.936,139.213,44,oxylabs,socks5,ru
,us,288.041,143.078,49,oxylabs,socks5,ru
,us,207.116,129.55,48,oxylabs,socks5,ru
,us,213.759,111.283,54,oxylabs,socks5,ru
,us,200.699,161.267,45,oxylabs,socks5,ru
,us,272.45,144.152,48,oxylabs,socks5,ru
,us,214.491,144.913,49,oxylabs,socks5,ru
,us,419.961,260.001,45,oxylabs,socks5,in
,us,489.972,310.007,52,oxylabs,socks5,in
,us,315.347,278.121,54,oxylabs,socks5,in
,us,374.904,239.373,48,oxylabs,socks5,in
,us,406.103,263.931,48,oxylabs,socks5,in
,us,369.012,303.714,51,oxylabs,socks5,in
,us,364.754,235.258,50,oxylabs,socks5,in
,us,305.508,349.619,55,oxylabs,socks5,in
,us,365.339,265.38,45,oxylabs,socks5,in
,us,470.62,254.843,49,oxylabs,socks5,in
